 
0.0258 0.0217
0.0409 0.0435
0.0779 0.0652
0.133 0.087
0.178 0.109
0.252 0.13
0.303 0.152
0.307 0.174
0.321 0.196
0.357 0.217
0.372 0.239
0.378 0.261
0.386 0.283
0.398 0.304
0.436 0.326
0.546 0.348
0.633 0.37
0.746 0.391
0.78 0.413
0.836 0.435
0.838 0.457
0.866 0.478
0.903 0.5
0.955 0.522
0.958 0.543
0.994 0.565
0.996 0.587
1.04 0.609
1.05 0.63
1.07 0.652
1.07 0.674
1.09 0.696
1.12 0.717
1.15 0.739
1.27 0.761
1.36 0.783
1.37 0.804
1.38 0.826
1.49 0.848
1.56 0.87
1.59 0.891
1.6 0.913
1.61 0.935
1.71 0.957
1.85 0.978
2.4 1
