 
0.0042 0.0104
0.124 0.0208
0.166 0.0312
0.192 0.0417
0.199 0.0521
0.206 0.0625
0.22 0.0729
0.284 0.0833
0.312 0.0938
0.325 0.104
0.341 0.115
0.352 0.125
0.381 0.135
0.396 0.146
0.4 0.156
0.404 0.167
0.435 0.177
0.443 0.188
0.469 0.198
0.478 0.208
0.511 0.219
0.52 0.229
0.54 0.24
0.568 0.25
0.573 0.26
0.583 0.271
0.641 0.281
0.647 0.292
0.687 0.302
0.723 0.312
0.725 0.323
0.742 0.333
0.784 0.344
0.789 0.354
0.799 0.365
0.815 0.375
0.826 0.385
0.844 0.396
0.845 0.406
0.855 0.417
0.856 0.427
0.857 0.438
0.876 0.448
0.882 0.458
0.884 0.469
0.884 0.479
0.886 0.49
0.902 0.5
0.903 0.51
0.907 0.521
0.908 0.531
0.91 0.542
0.944 0.552
0.974 0.562
0.985 0.573
0.992 0.583
0.996 0.594
1.03 0.604
1.04 0.615
1.04 0.625
1.04 0.635
1.06 0.646
1.11 0.656
1.14 0.667
1.15 0.677
1.22 0.688
1.25 0.698
1.25 0.708
1.29 0.719
1.32 0.729
1.33 0.74
1.35 0.75
1.39 0.76
1.39 0.771
1.39 0.781
1.4 0.792
1.4 0.802
1.4 0.812
1.41 0.823
1.44 0.833
1.44 0.844
1.46 0.854
1.49 0.865
1.56 0.875
1.6 0.885
1.62 0.896
1.65 0.906
1.67 0.917
1.78 0.927
1.78 0.938
1.91 0.948
1.95 0.958
2.07 0.969
2.09 0.979
2.11 0.99
2.17 1
